E_Bin,nue_obs,numu_obs,nue_pre,numu_pre,anue_obs,anumu_obs,anue_pre,anumu_pre
200.0,732.0,54472.0,527.164624,56314.570151,122.0,9481.0,90.289907,9998.957451
300.0,426.0,87062.0,315.423689,86652.169005,70.0,13581.0,53.077595,13461.301884
375.0,444.0,77710.0,349.644825,77496.377767,65.0,11308.0,57.098801,11298.240453
475.0,248.0,54243.0,186.211970,54280.574682,43.0,7667.0,32.937945,7604.960449
550.0,281.0,32350.0,261.441799,33589.592857,57.0,4682.0,43.159072,4331.886940
675.0,236.0,16927.0,195.534193,18141.591625,39.0,2371.0,34.174322,2125.537108
800.0,201.0,7880.0,203.008745,8780.439580,37.0,985.0,36.383542,891.222608
950.0,164.0,3773.0,165.664396,4090.676535,23.0,380.0,28.737807,336.987112
1100.0,138.0,0.0,118.581365,0.0,22.0,0.0,22.339305,0.0
